,Price,Town,Zip,Beds,Baths,Days_Listed,Sqft,Age,Lot_Size
173,645000.0,Plainview,11803,2.0,2.5,78.0,,2002.0,
174,3750000.0,Oyster Bay,11771,4.0,4.0,66.0,,1982.0,3.24
175,1799999.0,Merrick,11566,3.0,2.5,51.0,4618.0,1998.0,0.37
176,479000.0,Plainview,11803,2.0,2.0,49.0,1350.0,2002.0,
177,1699000.0,Oyster Bay,11771,5.0,3.5,46.0,,1981.0,2.09
178,699000.0,Plainview,11803,3.0,2.5,43.0,2140.0,2001.0,
179,4295000.0,Glen Head,11545,6.0,7.5,1.0,6400.0,2009.0,2.01
180,529000.0,Westbury,11590,3.0,2.0,56.0,,1953.0,
181,599000.0,Glen Cove,11542,4.0,3.0,141.0,3600.0,1957.0,
182,645000.0,New Hyde Park,11040,4.0,2.0,51.0,1444.0,1950.0,
183,597000.0,Westbury,11590,6.0,3.5,120.0,4277.0,1908.0,0.49
184,449000.0,East Rockaway,11518,3.0,2.0,70.0,1833.0,1955.0,0.14
185,449000.0,East Rockaway,11518,3.0,1.0,68.0,,1955.0,0.14
186,18800000.0,Oyster Bay,11771,7.0,8.5,94.0,12253.0,1994.0,
187,3950000.0,Locust Valley,11560,5.0,7.0,120.0,6000.0,1925.0,
188,949999.0,Massapequa,11758,4.0,2.5,31.0,3283.0,1960.0,
189,575000.0,New Hyde Park,11040,6.0,2.0,120.0,,1975.0,0.1
190,289000.0,Oyster Bay,11771,2.0,1.0,120.0,,1928.0,0.11
191,1495000.0,Manhasset,11030,3.0,2.5,10.0,2302.0,1938.0,
192,1999999.0,Kings Point,11024,6.0,4.5,120.0,,1954.0,0.96
193,1148000.0,Jericho,11753,3.0,2.5,118.0,2611.0,1973.0,0.53
194,1599000.0,Syosset,11791,7.0,4.5,91.0,4165.0,1986.0,2.0
195,549000.0,North Bellmore,11710,7.0,4.0,4.0,3764.0,1981.0,
196,4850000.0,Sands Point,11050,4.0,5.5,120.0,4354.0,1978.0,2.01
197,75000.0,Freeport,11520,,1.0,15.0,,1965.0,
198,5500000.0,Great Neck,11024,7.0,7.0,120.0,,1997.0,0.94
199,1590000.0,Old Westbury,11568,,,120.0,,,2.0
200,699000.0,Glen Cove,11542,5.0,3.0,120.0,2059.0,1893.0,0.31
201,1499999.0,Garden City,11530,3.0,4.0,120.0,,1928.0,0.3
202,1149000.0,Woodbury,11797,5.0,3.5,267.0,,1968.0,
203,599000.0,Bellmore,11710,4.0,3.0,43.0,,2005.0,
204,375000.0,Plainview,11803,4.0,2.0,13.0,,1950.0,
205,399999.0,Levittown,11756,4.0,2.0,7.0,,1948.0,
206,739000.0,Locust Valley,11560,4.0,3.5,120.0,3156.0,2008.0,0.14
207,399000.0,Floral Park,11001,3.0,2.5,120.0,,1930.0,0.05
208,179971.0,Hempstead,11550,3.0,2.0,120.0,,1972.0,0.09
209,339000.0,West Hempstead,11552,3.0,2.0,128.0,2058.0,1961.0,0.24
210,490000.0,Westbury,11590,3.0,3.0,120.0,,1970.0,0.17
211,449000.0,Westbury,11590,4.0,3.0,82.0,,1958.0,0.09
212,369000.0,Freeport,11520,4.0,1.5,55.0,,1937.0,0.13
213,625000.0,Roslyn,11576,3.0,2.5,39.0,1623.0,1938.0,0.17
214,4950000.0,Sands Point,11050,6.0,4.0,35.0,2300.0,1948.0,3.38
215,3188000.0,Manhasset,11030,5.0,5.5,20.0,5200.0,2004.0,0.56
216,2595000.0,Sands Point,11050,3.0,3.5,35.0,,1955.0,
217,589000.0,Oyster Bay,11771,3.0,2.0,120.0,,1907.0,0.15
218,455000.0,Plainview,11803,3.0,2.0,153.0,,1955.0,
219,769000.0,New Hyde Park,11040,4.0,2.0,95.0,1858.0,1951.0,0.22
220,379999.0,Long Beach,11561,1.0,1.0,120.0,1150.0,1970.0,
221,6400000.0,Old Westbury,11568,8.0,8.5,120.0,,1913.0,5.59
222,799999.0,Great Neck,11023,3.0,2.5,119.0,1574.0,1956.0,0.1
223,2149900.0,Locust Valley,11560,5.0,6.5,120.0,6184.0,1980.0,4.0
224,1069000.0,Woodbury,11797,3.0,3.5,96.0,3729.0,2006.0,
225,424979.0,Westbury,11590,3.0,1.5,106.0,2000.0,1914.0,0.18
226,549000.0,Massapequa,11758,5.0,2.0,54.0,,1951.0,0.17
227,499999.0,Oyster Bay,11771,4.0,2.0,83.0,1795.0,1923.0,0.11
228,899000.0,Jericho,11753,3.0,2.5,49.0,2240.0,1988.0,
229,725000.0,Massapequa,11758,5.0,3.5,91.0,,1965.0,0.25
230,999000.0,Woodbury,11797,3.0,3.5,33.0,,2006.0,
231,849000.0,Bayville,11709,4.0,2.0,54.0,,1968.0,0.12
232,2649000.0,Syosset,11791,6.0,5.0,120.0,,1994.0,2.0
233,2649000.0,Syosset,11791,6.0,5.0,120.0,,1994.0,2.0
234,2888888.0,Syosset,11791,6.0,5.5,8.0,,1998.0,2.01
235,2888888.0,Syosset,11791,6.0,5.5,8.0,,1998.0,2.01
236,3750000.0,Oyster Bay,11771,5.0,6.5,120.0,,2002.0,5.52
237,1188000.0,Syosset,11791,6.0,4.5,63.0,3773.0,1989.0,0.74
238,475000.0,East Rockaway,11518,4.0,2.5,13.0,1877.0,1936.0,0.13
239,1349000.0,Lawrence,11559,3.0,3.0,121.0,,1954.0,0.55
240,1999999.0,Hewlett,11557,4.0,3.5,31.0,5100.0,1951.0,
241,1179000.0,Garden City,11530,5.0,2.5,40.0,3097.0,1962.0,0.24
242,565000.0,North Bellmore,11710,3.0,2.0,61.0,,1923.0,0.29
243,399999.0,Massapequa,11758,4.0,2.0,7.0,,,
244,339000.0,Elmont,11003,3.0,2.0,10.0,924.0,1928.0,0.09
245,1299000.0,Woodbury,11797,5.0,4.0,119.0,4418.0,1972.0,1.17
246,812500.0,Jericho,11753,3.0,2.5,96.0,,1958.0,0.17
247,1070000.0,Oyster Bay,11771,4.0,3.5,119.0,4650.0,1980.0,2.01
248,1625000.0,Woodbury,11797,6.0,4.5,13.0,,1978.0,1.0
249,3750000.0,Oyster Bay,11771,5.0,6.5,41.0,,2002.0,5.52
250,1799000.0,Woodbury,11797,5.0,4.5,120.0,,2001.0,1.0
251,2990000.0,Great Neck,11020,5.0,4.5,30.0,,2013.0,0.34
252,528000.0,Floral Park,11001,4.0,1.5,78.0,,1945.0,0.09
253,479000.0,Levittown,11756,3.0,3.0,7.0,1900.0,1950.0,
254,399000.0,Bellmore,11710,4.0,2.0,31.0,,1928.0,
255,2195000.0,Manhasset,11030,4.0,3.5,112.0,3223.0,1938.0,
256,1499000.0,Great Neck,11023,5.0,5.0,120.0,,1929.0,0.42
257,4799000.0,Syosset,11791,9.0,9.0,120.0,15000.0,1934.0,8.23
258,799000.0,New Hyde Park,11040,5.0,2.0,55.0,2220.0,1952.0,
259,1789000.0,Roslyn,11576,5.0,5.0,115.0,4600.0,1958.0,
260,449000.0,Bayville,11709,3.0,1.5,36.0,1600.0,1915.0,
261,279000.0,Glen Cove,11542,4.0,2.0,120.0,1400.0,1962.0,0.17
262,235000.0,Glen Cove,11542,3.0,1.0,120.0,1100.0,1905.0,0.04
263,529000.0,Plainview,11803,5.0,3.0,100.0,,1953.0,
264,11900000.0,Sands Point,11050,6.0,5.0,120.0,3000.0,1953.0,6.64
265,568000.0,Roslyn,11576,2.0,1.5,51.0,,1979.0,
266,588000.0,Great Neck,11021,3.0,2.0,120.0,1400.0,1961.0,
267,1590000.0,Old Westbury,11568,5.0,3.5,120.0,5220.0,1958.0,2.0
