,Price,Beds,Baths,Area,Location
371,17000.0,3.0,5.0,2097.0,"
        Rental Unit in Battery Park City "
372,7000.0,3.0,2.0,2095.0,"
        Condo in Central Harlem "
373,18000.0,3.0,5.0,2090.0,"
        Condo in Carnegie Hill "
374,8688.0,,,2085.0,"
        Rental Unit in Murray Hill "
375,,3.0,5.0,2084.0,"
        Rental Unit in Chelsea "
376,,5.0,3.0,2083.0,"
        Rental Unit in Yorkville "
377,24000.0,2.0,5.0,2076.0,"
        Condo in Noho "
378,,1.0,1.0,750.0,"
        Rental Unit in Midtown West "
380,,4.0,5.0,2049.0,"
        Condo in Upper West Side "
381,,3.0,5.0,2048.0,"
        Rental Unit in Lincoln Square "
382,25000.0,3.0,2.0,2046.0,"
        Condo in Lincoln Square "
383,,3.0,5.0,2023.0,"
        Condo in Midtown "
384,,2.0,5.0,2019.0,"
        Condo in Turtle Bay "
385,,3.0,2.0,2017.0,"
        Rental Unit in Chinatown "
386,,3.0,5.0,2016.0,"
        Condo in Turtle Bay "
387,,2.0,2.0,2012.0,"
        Condo in Tribeca "
388,,3.0,3.0,2012.0,"
        Condo in Yorkville "
389,17500.0,2.0,2.0,2009.0,"
        Condo in Lincoln Square "
390,,2.0,5.0,2009.0,"
        Rental Unit in Midtown "
391,,5.0,2.0,2008.0,"
        Co-op in Greenwich Village "
393,,3.0,2.0,1700.0,"
        Multi-family in Tribeca "
394,,3.0,2.0,2006.0,"
        Rental Unit in Lincoln Square "
395,6500.0,,1.0,2000.0,"
        Rental Unit in Soho "
396,12500.0,,,2000.0,"
        Building in Central Harlem "
397,9950.0,2.0,5.0,2000.0,"
        Co-op in Soho "
398,7500.0,4.0,2.0,2000.0,"
        Rental Unit in Tribeca "
399,7500.0,3.0,3.0,2000.0,"
        Condo in Greenwich Village "
400,,2.0,3.0,2000.0,"
        Townhouse in Central Harlem "
401,16000.0,3.0,5.0,2000.0,"
        Rental Unit in Tribeca "
402,,2.0,2.0,2000.0,"
        Rental Unit in Tribeca "
403,9700.0,,2.0,2000.0,"
        Rental Unit in Morningside Heights "
404,16000.0,3.0,5.0,2000.0,"
        Condo in Soho "
405,5500.0,4.0,5.0,2000.0,"
        Rental Unit in Two Bridges "
407,,2.0,1.0,1000.0,"
        Rental Unit in Central Harlem "
408,4450.0,3.0,5.0,2000.0,"
        Rental Unit in Central Harlem "
409,9950.0,2.0,5.0,2000.0,"
        Co-op in Soho "
410,5500.0,4.0,5.0,2000.0,"
        Rental Unit in Two Bridges "
411,12500.0,,,2000.0,"
        Building in Central Harlem "
412,9000.0,2.0,2.0,2000.0,"
        Rental Unit in Upper West Side "
413,2900.0,2.0,2.0,2000.0,"
        Townhouse in Hamilton Heights "
414,,3.0,3.0,2000.0,"
        Rental Unit in Central Park South "
415,,3.0,3.0,2000.0,"
        Rental Unit in Tribeca "
416,16000.0,3.0,5.0,2000.0,"
        Rental Unit in Tribeca "
417,,4.0,2.0,2000.0,"
        Co-op in Upper West Side "
418,,2.0,3.0,2000.0,"
        Townhouse in Central Harlem "
419,9700.0,,2.0,2000.0,"
        Rental Unit in Morningside Heights "
420,,2.0,5.0,1743.0,"
        Condo in Lenox Hill "
421,18500.0,4.0,5.0,4000.0,"
        Rental Unit in Kips Bay "
422,,2.0,2.0,2000.0,"
        Co-op in Soho "
423,11500.0,3.0,2.0,2000.0,"
        Condo in Lenox Hill "
424,,4.0,2.0,2000.0,"
        Rental Unit in Chelsea "
425,,3.0,2.0,2000.0,"
        Rental Unit in Lenox Hill "
426,,3.0,2.0,2000.0,"
        Townhouse in NoMad "
427,,2.0,3.0,2000.0,"
        Townhouse in NoMad "
428,,2.0,3.0,2000.0,"
        Rental Unit in Central Harlem "
429,12000.0,2.0,5.0,1998.0,"
        Condo in Tribeca "
430,14000.0,3.0,3.0,1998.0,"
        Condo in Financial District "
431,,3.0,3.0,1997.0,"
        Rental Unit in Lenox Hill "
432,20000.0,2.0,2.0,1995.0,"
        Condo in Soho "
433,,2.0,5.0,1994.0,"
        Rental Unit in Chelsea "
434,,1.0,1.0,783.0,"
        Condo in Financial District "
436,24000.0,2.0,5.0,1988.0,"
        Condo in Midtown "
437,,2.0,3.0,1983.0,"
        Condo in Tribeca "
438,14500.0,3.0,3.0,1980.0,"
        Condo in Battery Park City "
439,,3.0,3.0,1975.0,"
        Condo in Financial District "
440,8800.0,2.0,2.0,1970.0,"
        Condo in Midtown "
441,25000.0,3.0,5.0,1964.0,"
        Condo in Lenox Hill "
442,13000.0,3.0,3.0,1963.0,"
        Condo in Tribeca "
443,13500.0,3.0,3.0,1963.0,"
        Condo in Tribeca "
444,14000.0,3.0,3.0,1963.0,"
        Condo in Tribeca "
445,,3.0,3.0,1963.0,"
        Condo in Battery Park City "
446,21000.0,3.0,5.0,1954.0,"
        Rental Unit in Greenwich Village "
447,25000.0,3.0,5.0,1954.0,"
        Rental Unit in Greenwich Village "
448,,,1.0,500.0,"
        Rental Unit in Lincoln Square "
450,13500.0,3.0,3.0,1950.0,"
        Rental Unit in Yorkville "
451,,2.0,5.0,1950.0,"
        Rental Unit in Chelsea "
452,,3.0,3.0,1950.0,"
        Condo in Midtown "
453,18000.0,3.0,3.0,1949.0,"
        Condo in West Chelsea "
